Title,Genre,Runtime (mins),Language,Total Hours,Total Views,Release Date,Year,IMDb Rating,Metascore,Directors,Star1,Star2,Star3,Age_Rating,Num Votes,Budget ($)
Plan A Plan B,Romantic Comedy,106,Hindi,10860000,6100000,30/09/2022,2022,4.6,,Shashanka Ghosh,Riteish Deshmukh,Tamannaah Bhatia,Kusha Kapila,PG-13,2247,4000000
Mr. Harrigan's Phone,Horror,106,English,61270000,34700000,05/10/2022,2022,6,55,John Lee Hancock,Donald Sutherland,Jaeden Martell,Colin O'Brien,PG-13,35410,10000000
Luckiest Girl Alive,Mystery,115,English,127410000,66500000,07/10/2022,2022,6.4,54,Mike Barker,Mila Kunis,Chiara Aurelia,Connie Britton,R,52469,15000000
The Curse of Bridge Hollow,Comedy,91,English,63660000,42000000,14/10/2022,2022,5.5,38,Jeff Wadlow,Marlon Wayans,Priah Ferguson,John Michael Higgins,PG-13,10156,10000000
The School for Good and Evil,Fantasy,148,English,148660000,60300000,19/10/2022,2022,5.9,30,Paul Feig,Kit Young,Sophia Anne Caruso,Liam Woon,PG-13,32675,100000000
The Stranger,Thriller,117,English,26210000,13400000,19/10/2022,2022,6.6,74,Thomas M. Wright,Joel Edgerton,Sean Harris,Cormac Wright,15,22784,12000000
20th Century Girl,Romantic Drama,121,Korean,34510000,17100000,21/10/2022,2022,7.3,,Woo-ri Bang,Yoo-jung Kim,Han Hyo-joo,Yuuki Luna,PG,6894,250000
The Good Nurse,Drama,123,English,128950000,62900000,26/10/2022,2022,6.8,65,Tobias Lindholm,Eddie Redmayne,Jessica Chastain,Dartel McRae,R,72576,15000000
All Quiet on the Western Front,War Drama,148,German,176490000,71500000,28/10/2022,2022,7.8,76,Edward Berger,Felix Kammerer,Albrecht Schuch,Moritz Klaus,R,216791,20000000
Wild Is the Wind,Drama,123,English,25280000,12300000,28/10/2022,2022,5.5,,Fabian Medea,Mothusi Magano,Frank Rautenbach,Mona Monyane,15,1517,2000000
Enola Holmes 2,Mystery,129,English,158030000,73500000,28/10/2022,2022,6.8,64,Harry Bradbeer,Millie Bobby Brown,Henry Cavill,Louis Partridge,PG-13,90467,50000000
The Takeover,Action,88,Dutch,37390000,25500000,01/11/2022,2022,5.3,,Annemarie van de Mond,Holly Mae Brood,Geza Weisz,Frank Lammers,15,4664,10000000
Falling for Christmas,Romantic Comedy,95,English,124580000,78700000,10/11/2022,2022,5.2,40,Janeen Damian,Lindsay Lohan,Chord Overstreet,Jack Wagner,PG,25266,15000000
"Monica, O My Darling",Comedy,130,Hindi,10290000,4700000,11/11/2022,2022,7.4,70,Vasan Bala,Rajkummar Rao,Huma Qureshi,Sikandar Kher,15,19191,5000000
The Wonder,Drama,109,English,43040000,23700000,16/11/2022,2022,6.6,71,Sebastian Lelio,Florence Pugh,Tom Burke,Niamh Algar,R,39449,18000000
Christmas with You,Romantic Comedy,90,English,31730000,21200000,17/11/2022,2022,5.6,39,Gabriela Tagliavini,Freddie Prinze Jr.,Aimee Garcia,Gabriel Sloyer,PG,6728,8000000
Slumberland,Fantasy,120,English,107010000,53500000,18/11/2022,2022,6.7,40,Francis Lawrence,Jason Momoa,Marlow Barkley,Kyle Chandler,PG,27139,150000000
Christmas on Mistletoe Farm,Comedy,103,English,24580000,14300000,23/11/2022,2022,4.4,,Debbie Isitt,Scott Garnham,Scott Paige,Delilah O'Riordan,G,1560,5000000
The Swimmers,Drama,135,English,61240000,27200000,23/11/2022,2022,7.4,62,Sally El Hosaini,Matthias Schweighofer,Ali Suliman,James Krishna Floyd,PG-13,32151,20000000
Lady Chatterley's Lover,Romantic Drama,127,English,60120000,28400000,02/12/2022,2022,6.6,67,Laure de Clermont-Tonnerre,Emma Corrin,Jack O'Connell,Joely Richardson,R,20092,15000000
Scrooge: A Christmas Carol,Animation,101,English,26900000,16000000,02/12/2022,2022,6.2,46,Stephen Donnelly,Luke Evans,Olivia Colman,Johnny Flynn,PG,6391,12000000
I Believe in Santa,Romantic Comedy,90,English,30050000,20000000,14/12/2022,2022,4.4,,Alex Ranarivelo,Christina Moore,John Ducey,Sachin Bhatt,PG,3377,6000000
Glass Onion: A Knives Out Mystery,Mystery,139,English,301730000,130200000,23/12/2022,2022,7.1,81,Rian Johnson,Daniel Craig,Edward Norton,Dave Bautista,PG-13,405381,40000000
White Noise,Comedy,136,English,29090000,12800000,30/12/2022,2022,5.7,66,Noah Baumbach,Adam Driver,Greta Gerwig,Madison Gaughan,R,40658,100000000
The Pale Blue Eye,Thriller,130,English,100970000,46600000,06/01/2023,2023,6.6,56,Scott Cooper,Christian Bale,Harry Melling,Timothy Spall,R,111618,72000000
Disconnect: The Wedding Planner,Romantic Comedy,107,English,3790000,2100000,13/01/2023,2023,4.1,,David 'Tosh' Gitonga,Pascal Tokodi,Catherine Kamau,Brenda Wairimu,15,202,500000
Dog Gone,Drama,95,English,45590000,28800000,13/01/2023,2023,6,42,Stephen Herek,Rob Lowe,Johnny Berchtold,Nick Peine,PG,5457,7000000
Alkhallat+,Thriller,117,Arabic,1570000,800000,19/01/2023,2023,6.8,65,"Fahad Alammari, Ayman Samman",Fouz Abdullah,Zayd Alamri,Fahad Albutairi,PG-13,2960,1500000
Run Rabbit Run,Horror,100,English,24100000,14500000,19/01/2023,2023,5,52,Daina Reid,Sarah Snook,Lily LaTorre,Katherine Slattery,15,7595,5000000
Mission Majnu,Spy Thriller,129,Hindi,22560000,10500000,20/01/2023,2023,7.1,,Shantanu Bagchi,Sidharth Malhotra,Rashmika Mandanna,Zakir Hussain,15,42461,12000000
You People,Comedy,118,English,150160000,76400000,27/01/2023,2023,5.5,50,Kenya Barris,Jonah Hill,Lauren London,Julia Louis-Dreyfus,R,58589,75000000
True Spirit,Biographical Drama,109,English,37560000,20700000,03/02/2023,2023,6.8,50,Sarah Spillane,Alyla Browne,Teagan Croft,Josh Lawson,PG,8130,10000000
Your Place or Mine,Romantic Comedy,111,English,134830000,72900000,10/02/2023,2023,5.7,49,Aline Brosh McKenna,Reese Witherspoon,Ashton Kutcher,Jesse Williams,PG-13,34531,15000000
